"","year","pitch","pitch_count","sum_whiffs","sum_swings","sum_takes","sum_abs","sum_hits","mean_velocity","mean_iso","mean_babip","mean_slg","mean_woba","ba","swing_percentage","whiff_percentage","contact_rate","take_percentage"
"15","2010","Cutter",37067,3984,18123,18941,8999,2355,88.1259125367578,0.149718374834759,0.301329484447082,0.410669975989425,0.321464078560445,0.261695743971552,0.488925459303424,0.219831153782486,0.780168846217514,0.510993606172606
"16","2010","Fastball",232275,17133,104003,128271,49948,13447,92.1988319879453,0.164468914002798,0.300523547519105,0.432739123883328,0.347872642342051,0.26921998878834,0.447758045420299,0.164735632625982,0.835264367374018,0.552237649338069
"17","2010","Sinker",176280,9453,77325,98955,41763,12169,91.1161844792376,0.148123411617881,0.306649977308827,0.439378993646472,0.354738455865668,0.291382324066758,0.438648740639891,0.122250242483026,0.877749757516974,0.561351259360109
"18","2010","Slider",99402,14803,47142,52260,25071,5380,83.7680559747289,0.120109032011428,0.286805064284421,0.335424206756403,0.264653497917547,0.214590562801643,0.474256051186093,0.31400873955284,0.68599126044716,0.525743948813907
"19","2011","Change",70812,10494,36362,34450,18560,4499,83.1164393040728,0.140968508162458,0.274250550754109,0.385116110263797,0.294407402700107,0.242403017241379,0.513500536632209,0.288597986909411,0.711402013090589,0.486499463367791
"20","2011","Curveball",54139,5819,21378,32761,12485,2730,76.806547959881,0.10972533663348,0.299000036941946,0.332064223572656,0.257997561831582,0.218662394873849,0.394872457932359,0.272195715221256,0.727804284778744,0.605127542067641
"21","2011","Cutter",41165,4343,20843,20322,10067,2502,88.628864326491,0.136660779788655,0.286211636098627,0.385465759747358,0.302817320539293,0.248534816727923,0.506328191424754,0.20836731756465,0.79163268243535,0.493671808575246
"22","2011","Fastball",233498,17365,105460,128038,50191,13332,92.4217569315369,0.163253089962227,0.295517070810028,0.42802742207642,0.342893913438231,0.265625311310793,0.451652690815339,0.164659586573108,0.835340413426892,0.548347309184661
"23","2011","Sinker",166267,8978,73529,92738,39713,11576,91.3758376587056,0.149420390095449,0.307327575526112,0.441084310175802,0.352622883675053,0.291491451162088,0.442234478278913,0.122101483768309,0.877898516231691,0.557765521721087
"24","2011","Slider",106275,16336,51753,54522,27351,5888,83.934508586215,0.125562926370266,0.285440828040461,0.342400555163491,0.265462291225594,0.215275492669372,0.48697247706422,0.315653198848376,0.684346801151624,0.51302752293578
"25","2012","Change",69405,10554,35780,33622,18344,4485,83.4020344355594,0.151625041423529,0.27853631582739,0.397935451336359,0.297340047547007,0.244494112516354,0.515524818096679,0.294969256567915,0.705030743432085,0.484431957351776
"26","2012","Curveball",59443,6958,23787,35656,13872,2935,77.0994869034201,0.116310717830527,0.290399138670659,0.331407802432582,0.255036825193883,0.211577277970012,0.400164863819121,0.292512717030311,0.707487282969689,0.599835136180879
"27","2012","Cutter",39435,4100,19435,20000,9532,2453,88.3474857360213,0.148246963357424,0.297544541650818,0.406143349816153,0.312790287815392,0.257343684431389,0.492836312919995,0.21095960895292,0.78904039104708,0.507163687080005
"28","2012","Fastball",235936,18551,106928,129008,50745,13609,92.485171826258,0.178137524582938,0.299454220636105,0.445673708124237,0.345666464634477,0.268184057542615,0.453207649532076,0.173490573095915,0.826509426904085,0.546792350467924
