"","year","pitch","pitch_count","sum_whiffs","sum_swings","sum_takes","sum_abs","sum_hits","mean_spin_rate","mean_velocity","mean_release_extension","mean_effective_speed","mean_eff_min_vel","mean_iso","mean_babip","mean_slg","mean_woba","mean_xwoba","mean_xba","mean_launch_speed","mean_launch_angle","ba","swing_percentage","whiff_percentage","contact_rate","take_percentage"
"11","2016","Sinker",143908,9260,65430,78477,34729,10139,2146.64715651666,92.4109153070017,6.13548586596993,91.5976348083498,-0.814222975790088,0.159634551241071,0.313529428523779,0.45164184756928,0.351586555299219,0.35211730411096,0.284427099257859,89.537690746866,6.47358451232732,0.291946212099398,0.454665480723796,0.14152529420755,0.85847470579245,0.545327570392195
"12","2016","Slider",105781,17664,51967,53813,26172,5627,2287.62745672663,84.9539671585634,5.85831009349505,83.972566150821,-0.979536022537128,0.143914275720593,0.283214490314896,0.360086253675046,0.267414696401055,0.261436770308468,0.209346678515045,86.514525292822,11.7858717539067,0.215000764175455,0.491269698717161,0.339908018550234,0.660091981449766,0.5087208477893
"13","2017","Change",70763,11153,36356,34407,17813,4347,1770.66038749064,84.1777313002558,6.11043129884262,83.8602954934076,-0.316529824908497,0.166741729434874,0.27864406540141,0.41237290674505,0.301294942272091,0.301192318019304,0.246444413040713,84.8329861650863,9.09885250766644,0.244035255150733,0.513771321170668,0.306771922103642,0.693228077896358,0.486228678829332
"14","2017","Curveball",55997,7011,22460,33537,12374,2687,2500.41820097505,77.8728967623265,5.717237530582,76.8680065003482,-1.0076771969927,0.146837151990285,0.286381020411808,0.366938228833687,0.268162508705824,0.260843330892726,0.216613586442131,85.136730539136,10.1542332624962,0.217148860513981,0.401092915691912,0.312154942119323,0.687845057880677,0.598907084308088
"15","2017","Cutter",38234,4957,19405,18829,9315,2309,2339.17494899827,88.3735680284563,5.97873594183188,88.0202233614061,-0.355330334257467,0.158517942145734,0.292168959564785,0.407236229533923,0.304861536852017,0.304219778207878,0.244717738138829,85.4971700580635,11.9543756865617,0.247879763821793,0.507532562640582,0.255449626384952,0.744550373615048,0.492467437359418
"16","2017","Fastball",247459,22830,115926,131532,52227,13944,2260.68322025063,93.2463074691161,6.17463151471557,92.9284478640906,-0.318441842891146,0.198777462125039,0.301065837168986,0.465743553477546,0.350302559211829,0.350792583821966,0.261785447286217,88.952980089631,17.3115994972905,0.266988339364696,0.46846548317095,0.196935976398737,0.803064023601263,0.53153047575558
"17","2017","Sinker",149613,9609,67976,81637,35616,10500,2146.09136238161,92.1774230848924,6.10648606738719,91.7852320988149,-0.392547439059441,0.17128388575859,0.313714216010641,0.466026067253514,0.358789897936677,0.359361719904019,0.288520696730899,88.0459886507189,6.83082686664929,0.294811320754717,0.454345544839018,0.141358714840532,0.858641285159468,0.545654455160982
"18","2017","Slider",115438,19621,55323,60115,27987,6004,2370.75604220447,84.4993858174951,5.81021388104437,83.7846701259551,-0.714110604826833,0.151700150730262,0.287072878948007,0.36740129766628,0.270946863251269,0.259903454668307,0.205094024497999,85.1759368665431,12.6209289835236,0.214528173794976,0.479244269651241,0.354662617717767,0.645337382282233,0.520755730348759
"19","2018","Change",73538,11657,37853,35685,18657,4426,1773.73027550382,84.2237401071555,6.07397563164622,83.9197138894177,-0.302370203160271,0.150630313579374,0.275788177540863,0.389795003943539,0.292541801517583,0.288591802877424,0.235194008539803,85.5499510457179,8.96771465092877,0.23722999410409,0.514740678288776,0.307954455393232,0.692045544606768,0.485259321711224
"20","2018","Curveball",56722,7143,22585,34137,12198,2674,2499.92029547618,78.2275818906244,5.66255033320405,77.1502894820352,-1.07419872359931,0.146316208878389,0.300499136137654,0.371502327139382,0.276445858749691,0.26210309932654,0.212284774866895,86.5148496174324,10.585945488523,0.219216264961469,0.398170022213603,0.316271861855214,0.683728138144786,0.601829977786397
