year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2018,Martinez, Carlos,593372,Cardinals,STL,R,83.5,442,1974,12.185185185185185,0.22391084093211752,SL,Slider,39,-40.8,-1.8,-4,12.4,7.1,5.3,74,0.2882882882882883,0.9309309309309309
2018,Jennings, Dan,543359,Brewers,MIL,L,82.2,441,1070,6.564417177914111,0.4121495327102804,SL,Slider,43.7,-41.2,2.4,6,9.4,7.6,1.9,25,0.7327327327327328,0.7747747747747747
2018,Díaz, Edwin,621242,Mariners,SEA,R,89.1,436,1172,7.234567901234568,0.3720136518771331,SL,Slider,29.6,-30.2,-0.6,-2,1.5,3.1,-1.6,-51,0.43243243243243246,0.3483483483483483
2018,Hess, David,605276,Orioles,BAL,R,80,434,1752,10.814814814814815,0.24771689497716895,SL,Slider,42.3,-44.2,-1.9,-4,7.5,8.4,-0.8,-10,0.2672672672672673,0.4594594594594595
2018,Cishek, Steve,518553,Cubs,CHC,R,77.5,433,1157,7.098159509202454,0.3742437337942956,SL,Slider,46,-45.5,0.5,1,14.7,14.4,0.3,2,0.5525525525525525,0.6066066066066066
2018,Gausman, Kevin,592332,Braves,ATL,R,81.4,431,3004,18.54320987654321,0.14347536617842876,SL,Slider,40.4,-41.4,-1,-2,1.9,6.5,-4.6,-70,0.37237237237237236,0.06006006006006006
2018,Scott, Tanner,656945,Orioles,BAL,L,88.7,428,957,5.907407407407407,0.44723092998955066,SL,Slider,36,-33.5,2.5,7,4.2,3.9,0.3,7,0.7507507507507507,0.6066066066066066
2018,Mahle, Tyler,641816,Reds,CIN,R,83.3,422,2071,12.783950617283951,0.20376629647513278,SL,Slider,39.4,-38.6,0.7,2,4.5,5.9,-1.4,-24,0.5705705705705706,0.37237237237237236
2018,Ramos, Edubray,591693,Phillies,PHI,R,82.9,421,743,4.58641975308642,0.566621803499327,SL,Slider,44,-39.6,4.4,11,9.7,5.6,4.1,73,0.8948948948948949,0.8888888888888888
2018,Castillo, Diego,650895,Rays,TB,R,88.9,410,893,5.512345679012346,0.45912653975363943,SL,Slider,33.2,-33.5,-0.4,-1,5.8,3.7,2.1,56,0.45045045045045046,0.7957957957957958
2018,Williams, Trevor,592866,Pirates,PIT,R,81.4,410,2723,16.91304347826087,0.15056922511935367,SL,Slider,41.3,-41,0.3,1,6.8,7.1,-0.2,-3,0.5195195195195195,0.5285285285285285
2018,Bieber, Shane,669456,Guardians,CLE,R,83.7,409,1805,11.141975308641975,0.22659279778393351,SL,Slider,40.3,-38.5,1.8,5,2.2,5.5,-3.3,-60,0.6696696696696697,0.16816816816816818
2018,Roe, Chaz,475054,Rays,TB,R,81.6,404,774,4.777777777777778,0.5219638242894057,SL,Slider,43.7,-41.7,2,5,21.5,6.5,14.9,228,0.6936936936936937,1
2018,Leclerc, José,600917,Rangers,TEX,R,81.2,400,933,5.7592592592592595,0.4287245444801715,SL,Slider,40.6,-43,-2.4,-5,10.2,8.5,1.7,20,0.2042042042042042,0.7507507507507507
2018,Bauer, Trevor,545333,Guardians,CLE,R,82,391,2853,17.61111111111111,0.13704872064493515,SL,Slider,43.2,-41.2,2,5,13.5,7.3,6.2,84,0.6936936936936937,0.9429429429429429
2018,Happ, J.A.,457918,Yankees,NYY,L,85.3,388,3051,18.833333333333332,0.12717141920681743,SL,Slider,32.5,-36.1,-3.6,-10,2.8,4.5,-1.7,-38,0.10510510510510511,0.33633633633633636
2018,Flynn, Brian,543169,Royals,KC,L,85.5,384,1250,7.716049382716049,0.3072,SL,Slider,36.1,-35.3,0.8,2,3.4,4.3,-0.9,-21,0.5795795795795796,0.44144144144144143
2018,Castro, Miguel,612434,Orioles,BAL,R,84.3,382,1460,9.012345679012345,0.26164383561643834,SL,Slider,39,-38.2,0.9,2,6.7,6,0.7,12,0.5945945945945946,0.6516516516516516
2018,Brebbia, John,605154,Cardinals,STL,R,82.8,379,833,5.1419753086419755,0.4549819927971189,SL,Slider,39,-39.3,-0.2,-1,8.5,5.8,2.7,47,0.46546546546546547,0.8288288288288288
2018,Cole, A.J.,595918,Yankees,NYY,R,84.4,378,877,5.41358024691358,0.43101482326111745,SL,Slider,33.1,-37,-3.9,-10,1,4.9,-3.9,-79,0.08408408408408409,0.11711711711711711
2018,Smith, Caleb,592761,Marlins,MIA,L,81.6,377,1393,8.652173913043478,0.2706389088298636,SL,Slider,45.5,-43.9,1.7,4,3.4,7.8,-4.4,-56,0.6546546546546547,0.07207207207207207
2018,Coleman, Louis,488786,Tigers,DET,R,82.9,375,835,5.154320987654321,0.4491017964071856,SL,Slider,38.7,-38.4,0.4,1,4.7,6.9,-2.2,-32,0.5255255255255256,0.2672672672672673
2018,Roark, Tanner,543699,Nationals,WSH,R,85,374,2958,18.25925925925926,0.12643678160919541,SL,Slider,32.3,-36.8,-4.5,-12,3.7,4.8,-1.2,-24,0.05405405405405406,0.3993993993993994
2018,Chafin, Andrew,605177,D-backs,AZ,L,82.9,373,878,5.419753086419753,0.42482915717539865,SL,Slider,40.6,-39,1.7,4,1.1,5.3,-4.3,-80,0.6546546546546547,0.07807807807807808
2018,Holland, Greg,518813,Nationals,WSH,R,86.2,370,818,5.049382716049383,0.45232273838630804,SL,Slider,35.5,-35,0.6,2,4.9,4.3,0.5,12,0.5615615615615616,0.6396396396396397
2018,Hembree, Heath,592390,Red Sox,BOS,R,88.8,370,1104,6.814814814814815,0.3351449275362319,SL,Slider,30.2,-31.1,-0.9,-3,4.5,3.5,1,29,0.3783783783783784,0.6876876876876877
2018,Velasquez, Vince,592826,Phillies,PHI,R,84.9,368,2471,15.253086419753087,0.1489275596924322,SL,Slider,38,-36.4,1.6,4,4.7,4.7,0,0,0.6426426426426426,0.5555555555555556
2018,Diekman, Jake,518617,D-backs,AZ,L,82.8,365,1012,6.246913580246914,0.3606719367588933,SL,Slider,44.3,-40,4.3,11,7,7.1,-0.1,-1,0.8858858858858859,0.5405405405405406
2018,Santana, Edgar,650828,Pirates,PIT,R,86.8,362,929,5.770186335403727,0.38966630785791173,SL,Slider,36.3,-35.1,1.3,4,2.1,4.1,-6.2,-152,0.6216216216216216,0.02702702702702703
2018,Gallardo, Yovani,451596,Rangers,TEX,R,89,355,1668,10.296296296296296,0.21282973621103118,SL,Slider,26.3,-31.3,-5,-16,3.2,3.5,-0.3,-9,0.03303303303303303,0.5105105105105106
2018,Bradford, Chasen,607473,Mariners,SEA,R,84.7,353,860,5.308641975308642,0.4104651162790698,SL,Slider,39.2,-38.2,1,3,4.3,6.2,-1.9,-31,0.6036036036036037,0.3063063063063063
2018,Johnson, Brian,598271,Red Sox,BOS,L,78.4,352,1710,10.555555555555555,0.20584795321637428,SL,Slider,45.9,-45.6,0.4,1,11.6,8.7,2.9,34,0.5255255255255256,0.8438438438438438
2018,Morgan, Adam,605388,Phillies,PHI,L,81,348,850,5.246913580246914,0.40941176470588236,SL,Slider,41.5,-43.1,-1.7,-4,16.2,7.7,8.5,111,0.2972972972972973,0.9819819819819819
2018,Kelley, Shawn,518875,Athletics,OAK,R,81,347,730,4.506172839506172,0.47534246575342465,SL,Slider,41.2,-42.1,-0.9,-2,5.8,7.1,-1.3,-18,0.3783783783783784,0.38738738738738737
2018,Kittredge, Andrew,552640,Rays,TB,R,84.5,347,640,3.950617283950617,0.5421875,SL,Slider,41.3,-36.9,4.4,12,7.5,5,2.5,51,0.8948948948948949,0.8228228228228228
2018,Gearrin, Cory,518715,Athletics,OAK,R,84,346,948,5.851851851851852,0.3649789029535865,SL,Slider,35.7,-38.5,-2.9,-7,5.9,7,-1,-15,0.15615615615615616,0.43243243243243246
2018,Mayers, Mike,594577,Cardinals,STL,R,86.8,344,908,5.604938271604938,0.3788546255506608,SL,Slider,37.1,-34.5,2.6,8,3,4.3,-1.3,-31,0.7717717717717718,0.38738738738738737
2018,Cashner, Andrew,488768,Orioles,BAL,R,85.7,341,2649,16.35185185185185,0.12872782181955456,SL,Slider,33.1,-36.9,-3.8,-10,1.9,4.5,-2.6,-58,0.09309309309309309,0.22822822822822822
2018,Familia, Jeurys,544727,Athletics,OAK,R,87.9,340,1193,7.364197530864198,0.28499580888516346,SL,Slider,33.1,-34,-0.9,-3,1.2,3.9,-2.7,-70,0.3783783783783784,0.21921921921921922
2018,Oberg, Scott,623184,Rockies,COL,R,86.7,339,907,5.564417177914111,0.3737596471885336,SL,Slider,37.8,-33.8,4,12,5.8,4.1,1.6,39,0.8768768768768769,0.7387387387387387
2018,Rondón, Héctor,444468,Astros,HOU,R,86.7,336,998,6.160493827160494,0.3366733466933868,SL,Slider,37.6,-34.1,3.5,10,6,4.2,1.8,43,0.8528528528528528,0.7627627627627628
2018,Nuño, Vidal,573064,Rays,TB,L,84.9,335,500,3.0864197530864197,0.67,SL,Slider,31.8,-37.5,-5.7,-15,7.2,5.1,2.1,42,0.015015015015015015,0.7957957957957958
2018,Garrett, Amir,607237,Reds,CIN,L,83.6,334,1002,6.185185185185185,0.3333333333333333,SL,Slider,36.7,-37.8,-1.2,-3,1.7,5.3,-3.6,-68,0.35435435435435436,0.14114114114114115
2018,Gray, Sonny,543243,Yankees,NYY,R,85,330,2249,13.882716049382717,0.1467318808359271,SL,Slider,42.2,-36.4,5.8,16,12.2,4.8,7.4,153,0.9519519519519519,0.963963963963964
2018,Bailey, Homer,456701,Reds,CIN,R,87.4,327,1789,11.04320987654321,0.18278367803242035,SL,Slider,30,-32.4,-2.4,-7,1.9,3.8,-1.9,-51,0.2042042042042042,0.3063063063063063
2018,Williams, Taylor,592865,Brewers,MIL,R,85.6,322,940,5.766871165644171,0.3425531914893617,SL,Slider,38.6,-37.1,1.5,4,2.9,5.5,-2.6,-47,0.6336336336336337,0.22822822822822822
2018,Sewald, Paul,623149,Mets,NYM,R,81.3,320,1057,6.5246913580246915,0.30274361400189215,SL,Slider,39.7,-40.9,-1.2,-3,8.3,8.8,-0.5,-6,0.35435435435435436,0.4924924924924925
2018,Ramírez, Neil,519166,Guardians,CLE,R,85.9,319,747,4.611111111111111,0.42704149933065594,SL,Slider,36.8,-34.8,2,6,6,4.3,1.6,38,0.6936936936936937,0.7387387387387387
2018,Buehler, Walker,621111,Dodgers,LAD,R,87.1,316,2173,13.331288343558283,0.14542107685227795,SL,Slider,36.1,-34.4,1.7,5,8.9,4.3,4.6,106,0.6546546546546547,0.9159159159159159
2018,Miller, Andrew,453192,Guardians,CLE,L,82.8,315,588,3.6296296296296298,0.5357142857142857,SL,Slider,42,-38.9,3.1,8,10.8,6.3,4.4,70,0.8138138138138138,0.9069069069069069
2018,Jackson, Edwin,429719,Athletics,OAK,R,86.2,313,1482,9.148148148148149,0.21120107962213225,SL,Slider,35.7,-34.4,1.3,4,2.1,4.2,-2.2,-51,0.6216216216216216,0.2672672672672673
2018,Giles, Ken,571704,Blue Jays,TOR,R,86.7,312,775,4.783950617283951,0.40258064516129033,SL,Slider,36,-36.7,-0.7,-2,0.4,4,-4.4,-110,0.4174174174174174,0.07207207207207207
2018,Stratton, Chris,608717,Giants,SF,R,83.5,310,2455,15.154320987654321,0.12627291242362526,SL,Slider,41.6,-38.7,2.9,7,5.4,5.2,0.2,3,0.7927927927927928,0.5915915915915916
2018,Jackson, Luke,592426,Braves,ATL,R,86.7,308,708,4.37037037037037,0.4350282485875706,SL,Slider,40.8,-33.3,7.5,23,0.1,3.9,-4,-103,0.978978978978979,0.10810810810810811
2018,Leake, Mike,502190,Mariners,SEA,R,80.2,307,2798,17.271604938271604,0.10972122944960686,SL,Slider,46.2,-44.6,1.7,4,8.5,8.7,-0.3,-3,0.6546546546546547,0.5105105105105106
2018,Mengden, Daniel,596043,Athletics,OAK,R,82.9,305,1775,10.95679012345679,0.17183098591549295,SL,Slider,42.2,-39.2,3,8,5.1,5.5,-0.4,-7,0.7987987987987988,0.5015015015015015
2018,Musgrove, Joe,605397,Pirates,PIT,R,84,304,1628,10.111801242236025,0.18673218673218672,SL,Slider,41.3,-37.8,3.4,9,6.3,4.8,1.5,31,0.8378378378378378,0.7267267267267268
2018,Smith, Will,519293,Giants,SF,L,81.1,304,813,5.018518518518518,0.37392373923739236,SL,Slider,42,-42.1,-0.1,0,9.7,6.4,3.3,52,0.4774774774774775,0.8618618618618619
2018,Iglesias, Raisel,628452,Reds,CIN,R,84.9,303,1147,7.080246913580247,0.26416739319965127,SL,Slider,38.1,-37.7,0.4,1,8,5.7,2.3,41,0.5255255255255256,0.8078078078078078
2018,Chirinos, Yonny,630023,Rays,TB,R,87.6,302,1315,8.117283950617283,0.22965779467680608,SL,Slider,29.3,-31.7,-2.4,-8,1.9,3.7,-1.8,-50,0.2042042042042042,0.3153153153153153
2018,Anderson, Brett,474463,Athletics,OAK,L,82,299,1203,7.425925925925926,0.2485453034081463,SL,Slider,50.4,-41.1,9.3,23,3.1,6,-2.9,-48,0.993993993993994,0.1981981981981982
2018,Cessa, Luis,570666,Yankees,NYY,R,83.7,298,704,4.345679012345679,0.42329545454545453,SL,Slider,42.1,-39.9,2.1,5,2,5.6,-3.6,-65,0.7147147147147147,0.14114114114114115
2018,Pressly, Ryan,519151,Astros,HOU,R,89.8,297,1114,6.8765432098765435,0.2666068222621185,SL,Slider,34.4,-31.6,2.8,9,5.7,3.7,2,55,0.7867867867867868,0.7867867867867868
2018,Fillmyer, Heath,641571,Royals,KC,R,84.1,294,1328,8.197530864197532,0.2213855421686747,SL,Slider,40.7,-38.7,2,5,2,5.4,-3.4,-62,0.6936936936936937,0.15915915915915915
2018,Hudson, Daniel,543339,Dodgers,LAD,R,86.6,293,739,4.533742331288344,0.39648173207036536,SL,Slider,34.1,-34.5,-0.4,-1,1.3,4.4,-3.1,-70,0.45045045045045046,0.1891891891891892
2018,Stumpf, Daniel,621385,Tigers,DET,L,84.7,291,701,4.327160493827161,0.41512125534950073,SL,Slider,35,-37.6,-2.6,-7,1.6,4.8,-3.2,-67,0.18618618618618618,0.18018018018018017
2018,Manaea, Sean,640455,Athletics,OAK,L,78.1,291,2371,14.635802469135802,0.12273302404048925,SL,Slider,45.4,-45.1,0.4,1,1.8,9.4,-7.6,-81,0.5255255255255256,0.009009009009009009
2018,Barraclough, Kyle,607457,Marlins,MIA,R,78.9,291,1012,6.285714285714286,0.2875494071146245,SL,Slider,51.3,-45,6.3,14,12.8,8.5,4.3,50,0.9669669669669669,0.9039039039039038
2018,Stanek, Ryne,592773,Rays,TB,R,89,291,1081,6.672839506172839,0.26919518963922295,SL,Slider,32.6,-31.5,1.1,4,1.7,3.5,-1.8,-52,0.6096096096096096,0.3153153153153153
2018,Reed, Cody,642003,Reds,CIN,L,86.7,291,719,4.438271604938271,0.4047287899860918,SL,Slider,36.9,-34.5,2.4,7,4.4,4.4,0.1,2,0.7327327327327328,0.5735735735735735
2018,García, Luis,472610,Phillies,PHI,R,84.8,290,764,4.716049382716049,0.3795811518324607,SL,Slider,38.3,-36.3,2.1,6,8.7,4.6,4.1,89,0.7147147147147147,0.8888888888888888
2018,Richards, Trevor,670950,Marlins,MIA,R,80.5,290,2232,13.863354037267081,0.12992831541218638,SL,Slider,46.1,-42.5,3.5,8,1.8,6.9,-5.2,-75,0.8528528528528528,0.05105105105105105
2018,Covey, Dylan,592229,White Sox,CWS,R,88,290,2053,12.67283950617284,0.1412566975158305,SL,Slider,31.7,-33.1,-1.4,-4,4,3.8,0.2,4,0.3303303303303303,0.5915915915915916
2018,Norris, Daniel,596057,Tigers,DET,L,83.1,289,816,5.037037037037037,0.3541666666666667,SL,Slider,43,-40.5,2.5,6,6.3,5.7,0.6,11,0.7507507507507507,0.6426426426426426
2018,McHugh, Collin,543521,Astros,HOU,R,79.6,286,1204,7.432098765432099,0.23754152823920266,SL,Slider,46.9,-43.6,3.3,8,17.2,9.4,7.8,83,0.8318318318318318,0.96996996996997
